name,zip,latitude,longitude,address,categories
Trinitea Tea,92119,32.8033981323242,-117.01065826416,"8680 Navajo Rd,Ste 109,San Diego, CA 92119","Coffee & Tea,Desserts,Bubble Tea"
SD Boba Tea - San Diego Boba Tea Cafe,91950,32.6773349,-117.0950765,"1105 E Plaza Blvd,Ste A,National City, CA 91950","Desserts,Coffee & Tea,Bubble Tea"
Sharetea,92115,32.7643448,-117.0613886,"6353 El Cajon Blvd,Ste 134,San Diego, CA 92115","Bubble Tea,Coffee & Tea,Juice Bars & Smoothies"
Ice Box,92115,32.762393,-117.0663241,"4649 College Ave,San Diego, CA 92115","Bubble Tea,Asian Fusion,Fast Food"
Snoice,91977,32.69714,-117.01773,"8423 Paradise Valley Rd,Ste B,Spring Valley, CA 91977","Shaved Ice,Bubble Tea,Ice Cream & Frozen Yogurt"
Kung Fu Tea,92071,32.83824,-116.99007,"9535 Mission Gorge Rd,Ste I,Santee, CA 92071","Bubble Tea,Coffee & Tea,Juice Bars & Smoothies"
Ding Tea SDSU,92115,32.74887,-117.072,"5807 University Ave,Unit A2,San Diego, CA 92115","Bubble Tea,Coffee & Tea,Juice Bars & Smoothies"
Saigon Sandwiches & Deli,92105,32.749176,-117.106201,"4133 University Ave,San Diego, CA 92105","Sandwiches,Vietnamese,Bubble Tea"
Sweet Escape Cafe,91977,32.698065,-117.019954,"8300 Paradise Valley Rd,Ste 109,Spring Valley, CA 91977","Desserts,Bubble Tea,Ice Cream & Frozen Yogurt"
Good Moments  Tea Bar,91950,32.6775439233939,-117.091574440601,"1453 E Plaza Blvd,National City, CA 91950","Desserts,Shaved Ice,Bubble Tea"
Tapioca Express,92115,32.76073,-117.06598,"6145 El Cajon Blvd,Ste G,San Diego, CA 92115","Coffee & Tea,Bubble Tea,Juice Bars & Smoothies"
Happytime Tea,92115,32.755842745143,-117.080306075513,"4336 54th St,San Diego, CA 92115","Coffee & Tea,Bubble Tea,Juice Bars & Smoothies"
Berry Fresh,92115,32.7581745,-117.07887867,"5416 El Cajon Blvd,San Diego, CA 92115","Acai Bowls,Bubble Tea,Juice Bars & Smoothies"
House of Pho,91950,32.6817180113244,-117.073756121099,"3120 E Plaza Blvd,National City, CA 91950","Vietnamese,Bubble Tea"
Chai Waii Chinese Food,92071,32.844898,-116.996983,"9225 Carlton Hills Blvd,Ste 19,Santee, CA 92071","Bubble Tea,Cantonese"
Tapioca Express,91950,32.67744,-117.08194,"2220 E Plaza Blvd,Ste S,National City, CA 91950","Coffee & Tea,Juice Bars & Smoothies,Bubble Tea"
Bee & Tea,92139,32.676988,-117.039287,"2939 Alta View Dr,Ste I,San Diego, CA 92139","Bubble Tea,Juice Bars & Smoothies,Acai Bowls"
Queenâ€™s Cafe,92019,32.7860633953,-116.9289316,"774 Jamacha Rd,El Cajon, CA 92019","Coffee & Tea,Bubble Tea"
Beachin Boba,92083,33.2155,-117.25228,"Vista, CA 92083","Bubble Tea,Food Trucks,Caterers"
